-0.98453,-0.93511,-0.78643,0.44443,0.080399,0.98606,-0.9999,-0.94202,-0.11479,0.28277,0.33624,0.28191,-0.75962,0.84695,0.89321,-0.94202,-0.66574,-0.76895,-0.9907,-0.66574,-0.99954,-0.9996,-0.90767,-0.14219,-0.012947,-0.88136,-0.88211,-0.88042,-0.27364,-0.99264,1
-0.96873,-0.79888,-0.89446,0.31352,-0.52963,0.98286,-0.99984,-0.7346,-0.75211,-0.16917,-0.39983,-0.42434,-0.86645,0.85266,0.85266,-0.7346,-0.48255,-0.60921,-0.99818,-0.48255,-0.99961,-0.99961,-0.98233,-0.33972,0.31266,-0.92091,-0.8905,-0.95856,-0.77905,-0.99604,1
-0.98552,-0.94591,-0.71972,0.61931,0.25431,0.9877,-0.99979,-0.98693,0.030004,0.37292,0.37705,0.328,-0.72314,0.91047,0.91047,-0.98693,-0.70413,-0.81629,-0.95778,-0.70413,-0.9996,-0.9996,-0.49582,-0.063093,-0.24862,-0.91103,-0.8905,-0.93645,-0.087024,-0.9905,1
-0.99635,-0.98753,-0.72803,0.46218,0.22954,0.98728,-0.99929,-0.98263,0.13349,0.44062,0.38481,0.34128,-0.68862,0.91765,0.91765,-0.98263,-0.55398,-0.6952,-0.9683,-0.55398,-0.99977,-0.99977,-0.38445,-0.029903,-0.30254,-0.91194,-0.8905,-0.93849,0.077135,-0.99465,1
-0.98954,-0.9598,-0.79706,0.26293,0.05137,0.98544,-0.9999,-0.96593,0.014426,0.36743,0.37985,0.3416,-0.72896,0.91111,0.90914,-0.96593,-0.74568,-0.8008,-0.98397,-0.74568,-0.99944,-0.99951,-0.86565,-0.070139,-0.10203,-0.90544,-0.88818,-0.9268,-0.070212,-0.99131,1
-0.98807,-0.95069,-0.79924,0.35135,0.043044,0.98498,-0.99993,-0.96911,0.0054707,0.36031,0.37785,0.34077,-0.73138,0.9103,0.90867,-0.96911,-0.79296,-0.84772,-0.98229,-0.79296,-0.99929,-0.99937,-0.88497,-0.074118,-0.065717,-0.90192,-0.88805,-0.9191,-0.12304,-0.98834,1
-0.32433,-0.29072,-0.5817,-0.42153,0.33028,0.99229,-0.99639,-0.98422,0.068335,0.46281,0.40283,0.36048,-0.70795,0.91172,0.90915,-0.98422,-0.91575,-0.86746,-0.96508,-0.91575,-0.99886,-0.99965,-0.86879,0.075094,-0.35337,-0.91271,-0.88751,-0.94391,-0.028244,-0.98646,2
-0.25938,-0.25346,-0.51428,-0.35589,0.32337,0.99215,-0.99757,-0.98653,0.07126,0.45681,0.4,0.34787,-0.69795,0.91085,0.90938,-0.98653,-0.91741,-0.88153,-0.95902,-0.91741,-0.99915,-0.99966,-0.79653,0.084581,-0.51977,-0.9137,-0.88895,-0.94434,-0.053127,-0.98473,2
-0.86125,-0.68037,-0.67305,0.10294,-0.39729,0.96429,-0.99997,-0.98196,-0.22374,0.17397,0.26987,0.21801,-0.81597,0.88447,0.84095,-0.98196,-0.9241,-0.93264,-0.96949,-0.9241,-0.99893,-0.99919,-0.8883,-0.5863,-0.40341,-0.91902,-0.89215,-0.9523,-0.36034,-0.97242,1
-0.97203,-0.92915,-0.66994,0.23972,-0.16675,0.97875,-0.99995,-0.97612,-0.17213,0.23009,0.31071,0.25718,-0.80746,0.84659,0.84921,-0.97612,-0.87407,-0.89966,-0.97701,-0.87407,-0.99939,-0.99939,-0.83149,-0.31529,-0.49899,-0.90355,-0.89039,-0.91986,-0.29798,-0.9818,1
1,-0.64899,0.52427,-0.72161,0.31145,0.99124,-0.99851,-0.97048,0.083297,0.59075,0.43361,0.41006,-0.1401,0.90918,0.90918,-0.97048,-0.90831,-0.74141,-0.98146,-0.90831,-0.99996,-0.99996,0.49286,0.090809,-1,-0.9151,-0.8905,-0.94556,-0.065016,-0.99353,2
