-0.94595,1,1,1,1
-1,-0.5102,-0.5102,-0.45833,1
-0.97297,-0.38776,-0.38776,-0.3125,1
-0.94595,-0.22449,-0.22449,-0.10417,1
-0.97297,-0.061224,-0.061224,0.5625,2
-0.89189,-0.87755,-0.87755,-0.95833,2
-0.94595,-0.7551,-0.7551,-0.75,1
-0.97297,-0.55102,-0.55102,-0.3125,2
-0.94595,-0.67347,-0.67347,-0.58333,1
-0.86486,0.83673,0.83673,1,1
-0.89189,-0.10204,-0.10204,0.16667,2
-1,-0.91837,-0.91837,-0.95833,2
-0.94595,-0.63265,-0.63265,-0.45833,1
-0.97297,-0.5102,-0.5102,-0.0625,2
-0.94595,-0.79592,-0.79592,-0.72917,1
-0.94595,-0.83673,-0.83673,-0.8125,1
-0.94595,-0.46939,-0.46939,-0.041667,1
-0.94595,-0.42857,-0.42857,-0.020833,1
-0.94595,-0.79592,-0.79592,-0.72917,1
-0.94595,-0.91837,-0.91837,-0.95833,1
-0.94595,-0.91837,-0.91837,-0.95833,1
-0.89189,-0.59184,-0.59184,-0.45833,2
-0.94595,-0.79592,-0.79592,-0.70833,1
-0.94595,-0.79592,-0.79592,-0.70833,1
-0.75676,-0.67347,-0.67347,-0.70833,2
-0.89189,-0.46939,-0.46939,-0.20833,2
-0.89189,-0.79592,-0.79592,-0.75,2
-0.89189,-0.55102,-0.55102,-0.33333,1
-0.89189,-0.83673,-0.83673,-0.8125,1
-0.89189,-0.71429,-0.71429,-0.60417,2
-0.97297,-0.46939,-0.46939,0.16667,2
-0.89189,-0.63265,-0.63265,-0.45833,1
-0.89189,-0.63265,-0.63265,-0.45833,1
-0.89189,-0.67347,-0.67347,-0.5,1
-0.94595,-0.38776,-0.38776,0.29167,2
-0.94595,-0.71429,-0.71429,-0.45833,1
-0.94595,-0.55102,-0.55102,-0.0625,1
-0.89189,-0.79592,-0.79592,-0.70833,1
-0.94595,-0.46939,-0.46939,0.14583,1
-0.89189,-0.7551,-0.7551,-0.58333,1
-0.94595,-0.5102,-0.5102,0.0625,1
-0.94595,-0.83673,-0.83673,-0.70833,2
-0.94595,-0.83673,-0.83673,-0.70833,1
-0.94595,-0.83673,-0.83673,-0.70833,2
-0.89189,-0.22449,-0.22449,0.39583,1
-0.89189,-0.67347,-0.67347,-0.45833,1
-0.94595,-0.67347,-0.67347,-0.29167,2
-0.94595,-0.95918,-0.95918,-1,2
-0.94595,-0.95918,-0.95918,-1,2
-0.94595,-0.95918,-0.95918,-1,2
-0.94595,-0.59184,-0.59184,-0.083333,2
-0.94595,-0.59184,-0.59184,-0.083333,1
-0.94595,-0.79592,-0.79592,-0.58333,2
-0.94595,-0.55102,-0.55102,0.041667,2
-0.89189,-0.83673,-0.83673,-0.75,1
-0.89189,-0.26531,-0.26531,0.39583,1
-0.89189,-0.71429,-0.71429,-0.5,1
-0.94595,-0.7551,-0.7551,-0.45833,1
-0.94595,-0.38776,-0.38776,0.64583,2
-0.91892,-0.79592,-0.79592,-0.60417,2
-0.94595,-0.7551,-0.7551,-0.4375,2
-0.94595,-0.71429,-0.71429,-0.3125,1
-0.94595,-0.63265,-0.63265,-0.020833,2
-0.89189,-0.83673,-0.83673,-0.70833,1
-0.94595,-0.91837,-0.91837,-0.85417,1
-0.91892,-0.38776,-0.38776,0.5,2
-0.94595,-0.87755,-0.87755,-0.75,1
-1,-0.95918,-0.95918,-0.95833,2
-0.89189,-0.7551,-0.7551,-0.52083,2
-0.97297,-0.67347,-0.67347,0.020833,2
-0.94595,-0.87755,-0.87755,-0.70833,2
-0.94595,-0.87755,-0.87755,-0.70833,2
-0.89189,-0.34694,-0.34694,0.4375,1
-0.94595,-0.95918,-0.95918,-0.95833,2
-0.94595,-0.95918,-0.95918,-0.95833,1
-0.94595,-0.95918,-0.95918,-0.95833,1
-0.94595,-0.87755,-0.87755,-0.70833,1
-0.94595,-0.95918,-0.95918,-0.95833,2
-0.94595,-0.95918,-0.95918,-0.95833,2
-0.94595,-0.95918,-0.95918,-0.95833,2
-0.89189,-0.79592,-0.79592,-0.5625,1
-0.94595,-0.87755,-0.87755,-0.70833,2
-0.94595,-0.87755,-0.87755,-0.70833,2
-0.94595,-0.87755,-0.87755,-0.70833,2
-0.94595,-0.79592,-0.79592,-0.45833,1
-0.94595,-0.79592,-0.79592,-0.45833,2
-0.89189,-0.95918,-0.95918,-0.95833,2
-0.89189,-0.95918,-0.95918,-0.95833,2
-0.89189,-0.95918,-0.95918,-0.95833,2
-0.94595,-0.7551,-0.7551,-0.3125,1
-0.89189,-0.95918,-0.95918,-0.95833,1
-0.89189,-0.95918,-0.95918,-0.95833,2
-0.89189,-0.95918,-0.95918,-0.95833,2
-0.89189,-0.95918,-0.95918,-0.95833,2
-0.67568,-0.59184,-0.59184,-0.5625,2
-0.89189,-0.7551,-0.7551,-0.45833,2
-0.91892,-0.34694,-0.34694,0.75,2
-0.89189,-0.67347,-0.67347,-0.25,1
-0.89189,-0.87755,-0.87755,-0.75,1
-0.86486,-0.7551,-0.7551,-0.5,1
-0.89189,-0.71429,-0.71429,-0.33333,1
-0.94595,-0.5102,-0.5102,0.54167,1
-0.89189,-0.67347,-0.67347,-0.20833,2
-0.94595,-0.83673,-0.83673,-0.5,2
-0.94595,-0.83673,-0.83673,-0.5,2
-0.83784,-0.34694,-0.34694,0.41667,2
-1,-0.71429,-0.71429,0.1875,2
-0.91892,-0.83673,-0.83673,-0.5,2
-0.94595,-0.91837,-0.91837,-0.75,2
-0.94595,-0.63265,-0.63265,0.29167,2
-0.89189,-0.83673,-0.83673,-0.5625,1
-0.89189,-0.67347,-0.67347,-0.083333,2
-0.89189,-0.83673,-0.83673,-0.5625,2
-0.89189,-0.71429,-0.71429,-0.20833,1
-0.94595,-0.55102,-0.55102,0.66667,2
-0.7027,-0.061224,-0.061224,0.29167,2
-0.94595,-0.7551,-0.7551,-0.083333,1
-0.89189,-0.59184,-0.59184,0.22917,2
-0.97297,-0.7551,-0.7551,0.14583,2
-0.94595,-0.59184,-0.59184,0.60417,1
-0.94595,-0.91837,-0.91837,-0.70833,1
-0.89189,-0.83673,-0.83673,-0.5,1
-0.94595,-0.79592,-0.79592,-0.1875,1
-0.94595,-0.83673,-0.83673,-0.35417,1
-0.94595,-0.87755,-0.87755,-0.5,2
-0.94595,-0.83673,-0.83673,-0.33333,2
