0.29882,-0.70877,0.96743,0.96958,0.83398,-0.29917,-0.92265,0.62187,-0.73196,-0.89728,1
0.29647,-0.71082,0.96051,0.97204,0.42648,-0.3112,-0.91529,0.99956,-0.76243,-0.89709,1
0.29825,-0.78873,0.96645,0.95358,0.4647,-0.31161,-0.90555,0.1924,-0.73024,-0.90219,1
0.2957,-0.73965,0.96165,0.96486,0.4323,-0.48211,-0.9749,0.76516,-0.76188,-0.96942,1
0.29586,-0.77321,0.96053,0.95679,0.42912,-0.55444,-0.98575,0.87655,-0.78151,-0.98425,1
0.28359,-0.81168,0.95618,0.94467,0.42676,0.055203,-0.97954,0.66725,-0.79165,-0.9781,1
0.29473,-0.80034,0.95456,0.95129,0.43568,-0.73998,-0.95123,0.10102,-0.7391,-0.93764,1
0.3041,-0.87963,0.96342,0.93332,0.56424,-0.40909,-0.97779,-0.30015,-0.67619,-0.97779,1
-0.41475,-0.94359,0.86246,0.8007,-0.021318,-1,-0.99846,0.47046,-0.92992,-0.99842,1
0.26219,-0.84998,0.95503,0.95103,0.1475,-0.78562,-0.96727,-0.75887,-0.59665,-0.95022,1
0.16364,-0.95791,0.94594,0.90769,0.34974,-0.28322,-0.98129,-0.74816,-0.82962,-0.97364,1
0.19024,-0.94272,0.93151,0.92907,0.35084,-0.90058,-0.98715,-0.8065,-0.86446,-0.97422,1
-0.02194,-0.94369,0.91407,0.86307,0.403,-0.33881,-0.98854,-0.15488,-0.88033,-0.98827,1
0.2974,-0.86554,0.95023,0.93504,0.27278,-0.28629,-0.96308,-0.14894,-0.74118,-0.9627,1
0.28851,-0.90664,0.94921,0.91166,0.40904,-0.41818,-0.95112,-0.14651,-0.82294,-0.94891,1
0.24666,-0.83039,0.94797,0.94235,0.371,-0.64933,-0.9747,0.17847,-0.77428,-0.97021,1
0.28695,-0.91225,0.93276,0.89921,0.42156,-0.2407,-0.98385,-0.0030029,-0.84641,-0.98333,1
0.28266,-0.87132,0.95739,0.94324,0.42456,-0.34716,-0.97692,-0.56239,-0.77258,-0.9547,1
-0.32162,-1,-1,-1,-0.32981,-0.55483,-1,-0.71488,-1,-1,1
0.294,-0.85613,0.94823,0.93309,0.49327,-0.53737,-0.978,0.13117,-0.7894,-0.97577,1
0.30016,-0.88443,0.94624,0.93236,0.4925,-0.5995,-0.95923,-0.33459,-0.82078,-0.93069,1
0.29869,-0.68778,0.95934,0.97053,0.4935,-0.46215,-0.97093,0.398,-0.78118,-0.9436,1
0.27172,-0.68532,0.9573,0.97348,0.27954,0.037569,-0.75455,0.67755,-0.68582,-0.75306,1
0.29609,-0.78502,0.95963,0.95352,0.46028,-0.27231,-0.94851,0.6676,-0.76492,-0.9451,1
0.17651,-0.97184,0.89995,0.87576,0.21875,-0.29441,-0.98128,-0.73318,-0.83167,-0.98128,1
0.30335,-0.72459,0.95164,0.96608,0.82001,1,-0.85007,0.47039,-0.72227,-0.82545,1
-0.13376,-0.8446,0.91184,0.93302,-0.01244,-0.032383,-0.95996,0.44543,-0.88857,-0.93961,1
0.28194,-0.8573,0.95569,0.93216,0.47134,0.28855,-0.94758,0.15108,-0.78496,-0.94255,1
0.25731,-0.92304,0.95394,0.92317,0.33395,0.057252,-0.96708,-0.57179,-0.79319,-0.95132,1
0.25541,-0.60103,0.93767,0.9696,0.061014,-0.67658,-0.78045,-0.20871,-0.47749,-0.68742,1
0.22715,-0.66975,0.9467,0.97261,0.24554,-0.52109,-0.96357,0.40497,-0.73492,-0.94093,1
0.29445,-0.85723,0.95533,0.93118,0.42693,-0.15282,-0.96379,0.20207,-0.78286,-0.96155,1
-1,-0.88606,0.80286,0.91573,0.77591,0.43336,-0.98371,0.14474,-0.92483,-0.96446,1
0.29396,-0.91097,0.95824,0.92059,0.43736,-0.41533,-0.99834,-0.39021,-0.76311,-0.99803,1
-0.43653,-0.93187,0.86881,0.82109,0.47858,0.066033,-0.97419,0.66127,-0.92892,-0.97413,1
0.27517,-0.77238,0.95328,0.95692,0.38649,-0.69985,-0.85007,0.2308,-0.76335,-0.82545,1
0.2422,-0.92914,0.93554,0.90915,0.19778,-0.1867,-0.97828,-0.43949,-0.81933,-0.97466,1
0.26992,-0.94924,0.95616,0.90501,0.40789,-0.74036,-0.99345,-0.63721,-0.79304,-0.99253,1
-0.04468,-0.94599,0.91341,0.87104,0.29782,-0.24085,-0.97617,-0.27927,-0.88106,-0.97599,1
0.27253,-0.94527,0.95546,0.9164,0.40631,-0.79457,-0.85007,-0.70098,-0.77982,-0.82545,1
0.27975,-0.96868,0.95417,0.89892,0.3842,-0.49534,-0.97603,-0.80314,-0.80593,-0.97232,1
0.20153,-0.78907,0.96213,0.95442,0.14053,-0.56749,-0.92988,-0.17598,-0.58984,-0.91625,1
0.2296,-0.94126,0.9561,0.9319,0.39668,-0.45224,-0.96513,-0.82683,-0.68583,-0.95022,1
0.24942,-0.88534,0.94699,0.92207,0.45687,-0.20551,-0.98188,-0.032711,-0.80169,-0.98112,1
0.12605,-0.73995,0.94496,0.96143,0.014844,-0.77219,-0.85007,-0.0057397,-0.59823,-0.82545,1
0.18399,-0.98169,0.94428,0.92513,0.47034,-0.86172,-0.98885,-1,-0.81973,-0.97371,1
0.24896,-0.91856,0.92155,0.904,0.38369,-0.63775,-0.96869,-0.20386,-0.83515,-0.96869,1
0.37631,-0.68422,0.95732,0.97277,0.010574,0.096399,-0.84079,0.58819,-0.75748,-0.84079,1
0.2964,-0.7573,0.95094,0.95922,0.48831,0.0017148,-0.98788,0.030634,-0.75898,-0.9803,1
0.21724,-0.82472,0.94767,0.95222,-0.055387,-0.75716,-0.96208,-0.6354,-0.72354,-0.92696,1
0.30635,-0.71249,0.96562,0.96847,0.59128,-0.229,-0.93926,0.54828,-0.71269,-0.93021,1
